timestamp,date,action,side,solAmount,usdcAmount,price,zone,pnl,avgEntry
1736222400000,2025-01-07,bootstrap,buy,0.177843,38.5000,216.05,bootstrap,,
1736251200000,2025-01-07,rebalance_buy,buy,0.047245,9.8329,207.71,moderate_buy,,
1736755200000,2025-01-13,emergency_sell,sell,0.225088,39.3610,175.22,stop_loss,-8.8752,214.2995
1737921600000,2025-01-26,rebalance_buy,buy,0.175060,42.1774,240.45,moderate_buy,,
1738224000000,2025-01-30,rebalance_sell,sell,0.034062,8.2176,241.74,neutral,0.0275,240.4500
1738339200000,2025-01-31,rebalance_buy,buy,0.038010,8.7761,230.43,moderate_buy,,
1738353600000,2025-01-31,rebalance_sell,sell,0.034926,8.0766,231.71,neutral,-0.2471,238.3224
1738425600000,2025-02-01,rebalance_buy,buy,0.038482,8.5493,221.72,moderate_buy,,
1738540800000,2025-02-03,emergency_sell,sell,0.182563,36.0843,198.05,stop_loss,-6.7857,234.8228
1738641600000,2025-02-04,rebalance_buy,buy,0.184341,37.7604,204.43,moderate_buy,,
1738656000000,2025-02-04,rebalance_sell,sell,0.036489,7.5680,207.82,neutral,0.1085,204.4300
1738785600000,2025-02-05,rebalance_buy,buy,0.040828,8.0229,196.11,moderate_buy,,
1738800000000,2025-02-06,rebalance_sell,sell,0.037822,7.5765,200.72,neutral,-0.0874,202.6296
1738843200000,2025-02-06,rebalance_buy,buy,0.040691,7.7990,191.28,moderate_buy,,
1738886400000,2025-02-07,rebalance_sell,sell,0.037663,7.2656,193.30,neutral,-0.2751,200.2186
1739808000000,2025-02-17,rebalance_buy,buy,0.045518,8.0774,177.10,moderate_buy,,
1739822400000,2025-02-17,rebalance_sell,sell,0.038711,6.8583,177.52,neutral,-0.6881,194.9413
1739851200000,2025-02-18,emergency_sell,sell,0.160693,26.5736,165.70,stop_loss,-4.7521,194.9413
1740153600000,2025-02-21,rebalance_buy,buy,0.202442,34.1534,168.37,moderate_buy,,
1740182400000,2025-02-22,rebalance_sell,sell,0.039773,6.7610,170.33,neutral,0.0644,168.3700
1740398400000,2025-02-24,rebalance_buy,buy,0.050565,7.7342,152.65,moderate_buy,,
1740412800000,2025-02-24,rebalance_buy,buy,0.046330,6.9681,150.10,strong_buy,,
1740441600000,2025-02-25,rebalance_sell,sell,0.083006,11.5040,138.87,neutral,-1.9469,162.0466
1740456000000,2025-02-25,emergency_sell,sell,0.176558,24.0131,136.28,stop_loss,-4.5974,162.0466
1740556800000,2025-02-26,rebalance_buy,buy,0.217470,30.0753,138.02,moderate_buy,,
1740571200000,2025-02-26,rebalance_sell,sell,0.042466,5.8944,139.08,neutral,0.0332,138.0200
1740585600000,2025-02-26,rebalance_buy,buy,0.094505,12.4798,131.79,strong_buy,,
1740600000000,2025-02-26,rebalance_sell,sell,0.090909,12.2582,135.11,neutral,-0.0905,135.8354
1740700800000,2025-02-28,rebalance_buy,buy,0.049319,6.2973,127.43,moderate_buy,,
1740715200000,2025-02-28,rebalance_sell,sell,0.044600,5.7143,128.38,neutral,-0.2628,134.0166
1740916800000,2025-03-02,rebalance_sell,sell,0.056893,8.9410,157.47,moderate_sell,1.3164,134.0166
1740945600000,2025-03-02,rebalance_sell,sell,0.049415,8.8153,178.75,strong_sell,2.1928,134.0166
1740960000000,2025-03-03,rebalance_buy,buy,0.082853,14.0999,169.84,neutral,,
1740974400000,2025-03-03,emergency_sell,sell,0.159863,25.8892,162.27,trailing_stop,1.4967,152.5828
1741017600000,2025-03-03,rebalance_buy,buy,0.231669,32.9025,141.74,moderate_buy,,
1741104000000,2025-03-04,rebalance_sell,sell,0.045407,6.4880,143.17,neutral,0.0519,141.7400
1741377600000,2025-03-07,rebalance_buy,buy,0.047723,6.6631,139.34,moderate_buy,,
1741392000000,2025-03-08,rebalance_sell,sell,0.045417,6.3298,139.65,neutral,-0.0854,141.2505
1741521600000,2025-03-09,rebalance_buy,buy,0.053603,6.9915,130.17,moderate_buy,,
1741953600000,2025-03-14,rebalance_sell,sell,0.047940,6.3217,132.13,neutral,-0.3323,138.7979
1741968000000,2025-03-14,rebalance_sell,sell,0.047860,6.4162,134.33,moderate_sell,-0.2267,138.7979
1741982400000,2025-03-14,rebalance_buy,buy,0.046769,6.2589,133.56,neutral,,
1741996800000,2025-03-15,rebalance_sell,sell,0.047133,6.3531,135.06,moderate_sell,-0.1291,137.5295
1742011200000,2025-03-15,rebalance_buy,buy,0.047863,6.3756,132.94,neutral,,
1742068800000,2025-03-15,rebalance_sell,sell,0.048097,6.5234,135.90,moderate_sell,-0.0370,136.3965
1742083200000,2025-03-16,rebalance_buy,buy,0.046234,6.2778,135.51,neutral,,
1742140800000,2025-03-16,rebalance_buy,buy,0.054101,6.8797,126.91,moderate_buy,,
1742169600000,2025-03-17,rebalance_sell,sell,0.048823,6.2855,129.00,neutral,-0.2638,134.1445
1742414400000,2025-03-19,rebalance_sell,sell,0.050922,6.8805,135.39,moderate_sell,0.0496,134.1445
1742428800000,2025-03-20,rebalance_buy,buy,0.047357,6.3562,133.95,neutral,,
1742774400000,2025-03-24,rebalance_sell,sell,0.048701,6.7150,138.16,moderate_sell,0.1844,134.0970
1743004800000,2025-03-26,rebalance_buy,buy,0.046239,6.3696,137.48,neutral,,
1743134400000,2025-03-28,rebalance_buy,buy,0.051157,6.7458,131.60,moderate_buy,,
1743148800000,2025-03-28,rebalance_sell,sell,0.047057,6.1943,131.90,neutral,-0.1214,134.2153
1743163200000,2025-03-28,rebalance_buy,buy,0.048622,6.3272,129.87,moderate_buy,,
1743595200000,2025-04-02,rebalance_sell,sell,0.047490,6.1799,130.39,neutral,-0.1529,133.3493
1743624000000,2025-04-02,rebalance_buy,buy,0.060462,7.1119,117.39,moderate_buy,,
1743638400000,2025-04-03,rebalance_sell,sell,0.051287,6.1324,119.81,neutral,-0.5141,129.5940
1743667200000,2025-04-03,rebalance_buy,buy,0.053682,6.2250,115.73,moderate_buy,,
