rank,finalScore,full_backtest_return,full_backtest_alpha,full_backtest_sharpe,full_backtest_maxDD,full_backtest_ddDelta,full_backtest_trades,full_backtest_winRate,full_backtest_bhReturn,full_backtest_bhDD,wf_avgValSharpe,wf_worstValMaxDD,wf_avgValTrades,wf_minSplitScore,wf_avgSplitSharpe,strongBuyRsi,moderateBuyRsi,moderateSellRsi,strongSellRsi,driftThresholdPct,stopLossPct,trailingStopActivationPct,trailingStopPct,bearishSolCutPct,bearTargetMultiplier,bearDriftOverridePct,bearModerateBuyRsiAdjustment,bearExtraVwapDiscountPct
1,12.825,16.636,31.342,0.1963,50.046,42.930,655,51.82,-14.705,92.976,0.2911,37.1,115,9.862,12.344,25,43,65,70,9,16,13,5,9,0.85,7,-2,2
2,11.906,12.623,27.328,0.1675,50.046,42.930,656,51.12,-14.705,92.976,0.2821,34.8,115,9.937,12.448,25,43,65,70,9,16,13,5,15,0.85,7,-2,2
3,11.306,11.622,26.327,0.1672,50.046,42.930,669,51.23,-14.705,92.976,0.2958,37.2,120,9.822,12.309,25,43,65,70,5,16,13,5,9,0.85,7,-6,2
4,10.765,6.693,21.398,0.1324,50.046,42.930,650,51.27,-14.705,92.976,0.2798,35.4,115,9.922,12.409,25,43,65,70,9,16,13,5,9,0.75,5,-6,2
5,9.729,4.987,19.693,0.1324,53.209,39.767,660,50.28,-14.705,92.976,0.2842,36.7,115,9.862,12.319,31,43,65,70,9,16,13,5,9,0.85,5,-2,2
6,9.729,4.987,19.693,0.1324,53.209,39.767,660,50.28,-14.705,92.976,0.2842,36.7,115,9.862,12.319,31,43,65,70,9,16,13,5,9,0.85,5,-2,2
7,8.555,-0.995,13.710,0.0945,53.209,39.767,654,49.86,-14.705,92.976,0.2859,36.7,114,9.862,12.340,31,43,65,70,9,16,13,5,9,0.85,7,-6,2
8,7.847,-4.050,10.656,0.0667,53.209,39.767,655,49.72,-14.705,92.976,0.2747,35.1,115,9.922,12.404,31,43,65,70,9,16,13,5,9,0.75,7,-6,2
9,7.847,-4.050,10.656,0.0667,53.209,39.767,655,49.72,-14.705,92.976,0.2747,35.1,115,9.922,12.404,31,43,65,70,9,16,13,5,9,0.75,7,-6,2
10,7.218,-4.863,9.843,0.0458,51.552,41.424,688,52.08,-14.705,92.976,0.3418,25.3,128,10.486,13.631,25,43,65,70,9,16,8,5,15,0.85,7,-6,1
11,5.707,-10.954,3.751,-0.0016,52.854,40.122,694,51.67,-14.705,92.976,0.3092,25.1,127,9.952,13.133,25,43,65,76,9,16,8,5,15,0.85,7,-2,1
12,5.292,-10.378,4.327,0.0032,52.770,40.206,727,51.86,-14.705,92.976,0.3177,25.5,136,9.912,13.163,25,43,65,76,5,16,8,5,15,0.85,7,-2,1
13,4.662,-15.454,-0.749,-0.0242,53.488,39.488,701,51.79,-14.705,92.976,0.2549,29.9,132,10.369,12.472,25,43,65,70,5,16,8,5,9,0.85,7,-6,1
14,4.662,-15.454,-0.749,-0.0242,53.488,39.488,701,51.79,-14.705,92.976,0.2549,29.9,132,10.369,12.472,25,43,65,70,5,16,8,5,9,0.85,5,-6,1
15,4.269,-16.032,-1.326,-0.0525,56.147,36.830,695,51.55,-14.705,92.976,0.3310,23.9,128,10.013,13.472,25,43,65,76,9,16,8,5,15,0.75,7,-2,1
16,4.025,-21.885,-7.180,-0.1157,55.620,37.356,594,51.35,-14.705,92.976,0.1737,26.6,103,10.013,12.307,25,43,65,76,9,16,8,5,15,0.75,5,-6,2
17,1.700,-25.822,-11.116,-0.1138,61.723,31.253,688,49.87,-14.705,92.976,0.3044,25.4,124,9.952,13.129,31,43,65,76,9,16,8,5,15,0.85,7,-6,1
